ano;id_aluno;id_escola;id_municipio;nome_municipio;sigla_uf;regiao;rede;serie;caderno;peso_aluno;mun_ctx_taxa_alfabetizacao;mun_ctx_media_portugues;mun_ctx_nivel_alfabetizacao;mun_ctx_percentual_participacao;mun_meta_2024;mun_meta_2030;mun_gap_projetado;mun_esforco_anual_requerido;uf_ctx_taxa_alfabetizacao;uf_ctx_media_portugues;uf_ctx_ranking_nacional;uf_meta_2030;escola_n_alunos_avaliados;mun_n_alunos_avaliados;mun_n_escolas;proficiencia;nao_alfabetizado;ibge_populacao;ibge_pib_per_capita;ibge_densidade_demografica;ibge_log_populacao
2024;35421313;60027040;3550308;São Paulo;SP;Sudeste;municipal;2;5;1,2;37,87;721,2607;0,5;84,24000000000001;44,37;80,0;6,5;6,019;51,91;740,39;15,0;80,0;77;94373;1110;712,0006367;1;11895578,0;89682,49;7387,69;16,2917
2024;31072622;60018024;3106200;Belo Horizonte;MG;Sudeste;estadual;2;15;1,04;65,95;757,7534;2,5;84,09;61,33;80,0;-4,62;2,007;59,81;751,71;8,0;80,0;134;16012;262;755,28;0;2416339,0;53882,2;7167,02;14,6978
2024;50011735;60039977;5002159;Bodoquena;MS;Centro-Oeste;municipal;2;3;1,21;44,62;735,2293;1,0;80,355;50,32;80,0;5,7;5,054;47,45;735,95;18,0;80,0;79;137;3;767,52;0;8849,0;43668,21;3,18;9,0882
2024;51049362;60040782;5107925;Sorriso;MT;Centro-Oeste;municipal;2;9;1,24;79,08;781,08;4,5;89,225;79,21;80,0;0,13;0,131;55,03;746,8;11,0;80,0;43;1711;19;786,32;0;120985,0;113640,18;7,13;11,7034
2024;21043834;60006096;2101202;Bacabal;MA;Nordeste;municipal;2;14;1,0;45,66;735,4471;1,5;91,735;51,22;80,0;5,56;4,906;56,43;749,92;10,0;80,0;19;902;32;744,59;0;107620,0;17774,28;59,42;11,5864
2024;13034065;60001403;1302603;Manaus;AM;Norte;municipal;2;20;1,12;52,2;736,11;2,0;73,57;56,8;80,0;4,6;3,971;52,2;736,47;13,0;80,0;120;23125;327;676,45;1;2279686,0;55994,46;158,06;14,6395
2024;31162698;60018558;3145208;Nova Serrana;MG;Sudeste;municipal;2;4;1,06;54,95;746,3576;3,0;94,525;59,11;80,0;4,16;3,579;59,81;751,71;8,0;80,0;35;1397;22;789,25;0;112910,0;34862,79;261,0;11,6344
2024;33011141;60025635;3300704;Cabo Frio;RJ;Sudeste;municipal;2;19;1,22;54,58;742,9705;2,0;76,66499999999999;58,8;80,0;4,22;3,631;52,13;737,3;14,0;80,0;75;2212;36;755,28;0;238166,0;71229,61;453,75;12,3807
2024;41085541;60034014;4120606;Prudentópolis;PR;Sul;municipal;2;1;1,12;82,7;765,4258;5,0;90,88;80,0;80,0;-2,7;-0,386;73,12;757,21;2,0;80,0;35;486;19;759,78;0;50428,0;37795,33;21,14;10,8283
2024;27033389;60013579;2708501;São Luís do Quitunde;AL;Nordeste;municipal;2;8;1,13;39,59;725,7126;1,0;94,015;45,9;80,0;6,31;5,773;43,88;729,72;19,0;80,0;99;398;12;792,43;0;31792,0;33118,49;81,61;10,367
2024;41037901;60032613;4114609;Marechal Cândido Rondon;PR;Sul;municipal;2;1;1,25;75,3;759,0326;4,0;88,935;76,01;80,0;0,71;0,671;73,12;757,21;2,0;80,0;86;659;17;753,17;0;58140,0;67406,38;62,59;10,9706
2024;26042918;60012387;2609402;Moreno;PE;Nordeste;municipal;2;4;1,0;53,38;737,0446;1,5;94,805;57,79;80,0;4,41;3,803;58,95;747,45;9,0;80,0;63;385;12;753,84;0;57647,0;19399,26;289,16;10,9621
2024;51021867;60040512;5107602;Rondonópolis;MT;Centro-Oeste;municipal;2;21;1,12;52,75;743,83;2,5;87,58500000000001;57,26;80,0;4,51;3,893;55,03;746,8;11,0;80,0;114;2966;43;847,47;0;259167,0;63928,86;47,0;12,4652
2024;42029341;60035796;4211603;Nova Veneza;SC;Sul;municipal;2;20;1,15;69,57;761,5208;3,5;91,425;71,23;80,0;1,66;1,49;61,38;747,11;7,0;80,0;48;152;7;769,56;0;13968,0;95471,72;45,34;9,5446
2024;27031174;60013514;2709301;União dos Palmares;AL;Nordeste;municipal;2;19;1,0;89,35;785,5604;5,0;99,22;80,0;80,0;-9,35;-1,336;43,88;729,72;19,0;80,0;59;633;17;748,92;0;60874,0;27827,94;148,24;11,0166
2024;51050307;60040645;5102686;Campos de Júlio;MT;Centro-Oeste;municipal;2;16;1,17;48,17;740,07;2,0;86,41;53,38;80,0;5,21;4,547;55,03;746,8;11,0;80,0;151;161;2;778,62;0;9608,0;302360,43;0,76;9,1705
