ano;id_aluno;id_escola;id_municipio;nome_municipio;sigla_uf;regiao;rede;serie;caderno;peso_aluno;mun_ctx_taxa_alfabetizacao;mun_ctx_media_portugues;mun_ctx_nivel_alfabetizacao;mun_ctx_percentual_participacao;mun_meta_2024;mun_meta_2030;mun_gap_projetado;mun_esforco_anual_requerido;uf_ctx_taxa_alfabetizacao;uf_ctx_media_portugues;uf_ctx_ranking_nacional;uf_meta_2030;escola_n_alunos_avaliados;mun_n_alunos_avaliados;mun_n_escolas;proficiencia;nao_alfabetizado;ibge_populacao;ibge_pib_per_capita;ibge_densidade_demografica;ibge_log_populacao
2024;33119704;60024627;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;12;1,04;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;49;43411;687;768,17;0;6729894,0;62179,64;5265,81;15,7221
2024;33119735;60024622;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;2;1,17;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;41;43411;687;748,9;0;6729894,0;62179,64;5265,81;15,7221
2024;33120358;60024914;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;19;1,11;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;71;43411;687;757,24;0;6729894,0;62179,64;5265,81;15,7221
2024;33120521;60024929;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;16;1,14;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;58;43411;687;736,08;1;6729894,0;62179,64;5265,81;15,7221
2024;33122204;60025632;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;12;1,14;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;135;43411;687;756,09;0;6729894,0;62179,64;5265,81;15,7221
2024;33122284;60025632;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;3;1,14;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;135;43411;687;659,95;1;6729894,0;62179,64;5265,81;15,7221
2024;33122541;60024639;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;2;1,04;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;53;43411;687;666,12;1;6729894,0;62179,64;5265,81;15,7221
2024;33122603;60024539;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;20;1,15;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;186;43411;687;758,36;0;6729894,0;62179,64;5265,81;15,7221
2024;33122781;60024539;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;21;1,12;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;186;43411;687;677,03;1;6729894,0;62179,64;5265,81;15,7221
2024;33123126;60024481;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;15;1,11;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;103;43411;687;777,17;0;6729894,0;62179,64;5265,81;15,7221
2024;33123392;60025412;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;15;1,16;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;51;43411;687;812,17;0;6729894,0;62179,64;5265,81;15,7221
2024;33123694;60025613;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;5;1,04;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;105;43411;687;755,78;0;6729894,0;62179,64;5265,81;15,7221
2024;33123720;60025613;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;10;1,08;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;105;43411;687;673,16;1;6729894,0;62179,64;5265,81;15,7221
2024;33124270;60024874;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;16;1,18;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;83;43411;687;734,79;1;6729894,0;62179,64;5265,81;15,7221
2024;33124432;60025607;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;19;1,33;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;79;43411;687;742,21;1;6729894,0;62179,64;5265,81;15,7221
2024;33124613;60024866;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;21;1,18;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;150;43411;687;667,53;1;6729894,0;62179,64;5265,81;15,7221
2024;33124763;60024866;3304557;Rio de Janeiro;RJ;Sudeste;municipal;2;3;1,03;56,19;741,2373;2,5;84,625;60,14;80,0;3,95;3,401;52,13;737,3;14,0;80,0;150;43411;687;790,07;0;6729894,0;62179,64;5265,81;15,7221
