id_municipio,nome_municipio,sigla_uf,regiao,rede,ctx_taxa,meta_2024,gap_projetado,taxa_observada,meta_do_ano,nao_atingiu_meta,prob_nao_atingir_meta,faixa_risco,particao,n_alunos_avaliados,ibge_populacao,ibge_pib_per_capita
3135050,Jaíba,MG,Sudeste,municipal,42.81,48.75,5.94,63.5,48.75,0,0.0592,baixo,treino,170.0,39379.0,24630.23
3138005,Laranjal,MG,Sudeste,publica,40.25,46.49,6.24,82.11,46.49,0,0.0592,baixo,teste,,6042.0,19231.21
3133600,Itapeva,MG,Sudeste,municipal,52.0,56.63,4.63,67.89,56.63,0,0.0591,baixo,teste,152.0,13332.0,127430.77
3133600,Itapeva,MG,Sudeste,publica,52.0,56.63,4.63,67.89,56.63,0,0.0591,baixo,treino,,13332.0,127430.77
3117876,Confins,MG,Sudeste,municipal,52.52,57.07,4.55,69.15,57.07,0,0.059,baixo,treino,74.0,7676.0,210658.81
5216809,Petrolina de Goiás,GO,Centro-Oeste,publica,59.28,62.71,3.43,85.41,62.71,0,0.0589,baixo,teste,,9577.0,25565.73
5108501,Vera,MT,Centro-Oeste,publica,34.76,41.54,6.78,52.77,41.54,0,0.0588,baixo,treino,,13389.0,112353.72
3104403,Argirita,MG,Sudeste,municipal,55.13,59.26,4.13,89.33,59.26,0,0.0588,baixo,treino,28.0,2725.0,18852.11
3171204,Vespasiano,MG,Sudeste,publica,54.97,58.37,3.4,70.72,58.37,0,0.0586,baixo,teste,,136826.0,26449.88
3137601,Lagoa Santa,MG,Sudeste,municipal,61.7,64.72,3.02,72.24,64.72,0,0.0585,baixo,treino,509.0,79981.0,35325.64
3167400,Silvianópolis,MG,Sudeste,publica,54.05,58.35,4.3,87.91,58.35,0,0.0585,baixo,treino,,6336.0,28204.39
3169505,Tumiritinga,MG,Sudeste,publica,45.36,50.96,5.6,74.58,50.96,0,0.0585,baixo,treino,,5973.0,15822.87
3119203,Coroaci,MG,Sudeste,municipal,56.22,60.17,3.95,73.42,60.17,0,0.0585,baixo,treino,64.0,11200.0,14289.38
3119203,Coroaci,MG,Sudeste,publica,56.22,60.17,3.95,73.42,60.17,0,0.0585,baixo,treino,,11200.0,14289.38
2308377,Miraíma,CE,Nordeste,publica,86.66,80.0,-6.66,85.6,80.0,0,0.0584,baixo,treino,,14736.0,9599.76
3172202,Wenceslau Braz,MG,Sudeste,publica,48.66,53.79,5.13,70.34,53.79,0,0.0584,baixo,treino,,2387.0,18335.57
3149606,Pequi,MG,Sudeste,municipal,64.18,66.77,2.59,81.37,66.77,0,0.0583,baixo,treino,57.0,4258.0,24407.0
3124104,Esmeraldas,MG,Sudeste,publica,51.06,55.55,4.49,68.41,55.55,0,0.0583,baixo,treino,,91573.0,14356.75
1302207,Juruá,AM,Norte,estadual,56.11,46.8,-9.31,49.17,46.8,0,0.0582,baixo,treino,86.0,11152.0,13266.68
3134707,Jacinto,MG,Sudeste,publica,45.37,50.97,5.6,55.44,50.97,0,0.0582,baixo,treino,,11169.0,14297.61
3518800,Guarulhos,SP,Sudeste,estadual,60.45,45.75,-14.7,67.09,45.75,0,0.0582,baixo,treino,3184.0,1345364.0,72513.96
3505906,Batatais,SP,Sudeste,estadual,78.54,64.07,-14.47,70.05,64.07,0,0.0581,baixo,treino,109.0,59873.0,55595.84
3130200,Igaratinga,MG,Sudeste,municipal,68.89,70.67,1.78,79.48,70.67,0,0.058,baixo,teste,126.0,11252.0,73900.37
3131307,Ipatinga,MG,Sudeste,publica,66.94,67.17,0.23,75.61,67.17,0,0.0579,baixo,treino,,235445.0,71652.57
3169505,Tumiritinga,MG,Sudeste,municipal,45.36,50.96,5.6,74.58,50.96,0,0.0576,baixo,teste,51.0,5973.0,15822.87
5218904,Rubiataba,GO,Centro-Oeste,municipal,77.53,77.9,0.37,87.69,77.9,0,0.0576,baixo,treino,206.0,20132.0,38119.36
5108501,Vera,MT,Centro-Oeste,municipal,34.76,41.54,6.78,52.77,41.54,0,0.0576,baixo,treino,176.0,13389.0,112353.72
3107109,Boa Esperança,MG,Sudeste,municipal,53.83,58.17,4.34,74.5,58.17,0,0.0575,baixo,teste,447.0,41332.0,34202.65
